quote_text,speaker,chapter,book,code
"""The sun persists in rising, so I make myself stand.""",Katniss,1,Catching Fire,Symbolic
"""But the Victory Tour makes that impossible. Strategically placed almost midway between the annual Games, it is the Capitols way of keeping the horror fresh and immediate. Not only are we in the districts forced to remember the iron grip of the Capitols power each year, we are forced to celebrate it.""",Katniss,1,Catching Fire,Cultural
"""Its just one more part of the lie the Capitol has concocted.""",Katniss,1,Catching Fire,Cultural
"""Katniss Everdeen, the girl who was on fire, you have provided a spark that, left unattended, may grow to an inferno that destroys Panem,""",Snow,2,Catching Fire,Cultural
"""But when the Capitol decrees that only one tribute can live and you have the audacity to challenge it, I guess thats a rebellion in itself.""",Katniss,2,Catching Fire,Cultural
"""My advisors were concerned you would be difficult, but youre not planning on being difficult, are you?""",Snow,2,Catching Fire,Hermeneutic
"""After that, there was nothing to do but let you play out your little scenario. And you were pretty good, too, with the love-crazed schoolgirl bit. The people in the Capitol were quite convinced. Unfortunately, not everyone in the districts fell for your act,""",Snow,2,Catching Fire,Cultural
"""This, of course, you dont know. You have no access to information about the mood in other districts. In several of them, however, people viewed your little trick with the berries as an act of defiance, not an act of love. And if a girl from District Twelve of all places can defy the Capitol and walk away unharmed, what is to stop them from doing the same? What is to prevent, say, an uprising?""",Snow,2,Catching Fire,Cultural
"""But theyll follow if the course of things doesnt change. And uprisings have been known to lead to revolution.""",Snow,2,Catching Fire,Proairetic
"""How stupid Ive been to think the Capitol would just ignore me once Id returned home! Maybe I didnt know about the potential uprisings. But I knew they were angry with me. Instead of acting with the extreme caution the situation called for, what have I done?""",Katniss,2,Catching Fire,Cultural
"""A visit from President Snow. Districts on the verge of uprisings. A direct death threat to Gale, with others to follow. Everyone I love doomed. And who knows who else will pay for my actions? Unless I turn things around on this tour. Quiet the discontent and put the presidents mind at rest. And how? By proving to the country beyond any shadow of a doubt that I love Peeta Mellark.""",Katniss,3,Catching Fire,Cultural
"""Who else will I fail to save from the Capitols vengeance? Who else will be dead if I dont satisfy President Snow?""",Katniss,3,Catching Fire,Cultural
"""Then you can't fail.""",Haymitch,3,Catching Fire,Symbolic
"""What happens next is not an accident. It is too well executed to be spontaneous, because it happens in complete unison. Every person in the crowd presses the three middle fingers of their left hand against their lips and extends them to me. It's our sign from District 12, the last good-bye I gave Rue in the arena.""",Katniss,4,Catching Fire,Cultural
"""One of the few freedoms we have in District 12 is the right to marry who we want or not marry at all. And now even that has been taken away from me.""",Katniss,4,Catching Fire,Cultural
"""If she had won, Rue would never have let my death go unsung. I remember how I took care in the arena to cover her with flowers, to make sure her loss did not go unnoticed. But that gesture will mean nothing if I dont support it now.""",Katniss,4,Catching Fire,Cultural
"""For his power. For his refusal to play the Games on anyones terms but his own. The Careers wanted him to team up with them from the beginning, but he wouldnt do it. I respected him for that.""",Katniss,4,Catching Fire,Cultural
"""Thank you for your children.""",Katniss,4,Catching Fire,Symbolic
"""If I hadnt spoken to President Snow, this gesture might move me to tears. But with his recent orders to calm the districts fresh in my ears, it fills me with dread. What will he think of this very public salute to the girl who defied the Capitol?""",Katniss,4,Catching Fire,Cultural
"""The full impact of what Ive done hits me. It was not intentional  I only meant to express my thanks  but I have elicited something dangerous. An act of dissent from the people of District 11. This is exactly the kind of thing I am supposed to be defusing!""",Katniss,4,Catching Fire,Cultural
"""A pair of Peacekeepers dragging the old man who whistled to the top of the steps. Forcing him to his knees before the crowd. And putting a bullet through his head.""",Katniss,4,Catching Fire,Cultural
"""Youll see, the choices youll have to make. If we survive this, you'll learn.""",Haymitch,4,Catching Fire,Not applicable
